order_id,customer_id,product_id,quantity,order_date
1,8,5,4,2026-07-22
2,21,1,4,2025-08-23
3,82,8,1,2025-12-12
4,5,8,5,2026-05-03
5,56,8,2,2026-01-08
6,87,9,4,2025-09-15
7,46,5,4,2026-07-20
8,2,1,1,2025-09-14
9,15,7,3,2025-09-26
10,94,2,4,2026-03-05
11,84,5,5,2025-08-12
12,49,2,3,2025-09-24
13,73,6,1,2026-02-13
14,16,1,1,2026-02-20
15,16,3,1,2025-12-25
16,92,10,2,2026-06-13
17,10,2,5,2025-10-31
18,87,10,5,2026-07-14
19,54,7,4,2026-07-11
20,60,9,5,2026-06-17
21,30,10,3,2026-01-03
22,37,1,5,2026-04-24
23,96,8,3,2026-07-16
24,67,10,1,2025-10-09
25,46,10,5,2026-01-09
26,34,1,1,2026-04-12
27,64,1,5,2026-03-12
28,32,2,4,2025-12-02
29,32,9,3,2026-01-09
30,99,7,2,2026-02-26
31,42,2,1,2025-11-12
32,46,10,3,2026-04-17
33,60,2,1,2026-04-30
34,1,4,4,2025-10-02
35,3,9,5,2025-12-08
36,97,8,1,2026-02-17
37,30,8,1,2026-05-15
38,8,8,2,2026-02-11
39,84,2,2,2026-04-20
40,76,7,1,2026-03-09
41,29,3,5,2025-10-09
42,64,2,4,2026-05-10
43,33,6,3,2026-06-09
44,85,3,2,2025-09-03
45,19,5,4,2025-10-22
46,26,2,4,2026-06-18
47,55,10,1,2026-01-24
48,97,7,1,2025-08-20
49,20,6,4,2025-09-18
50,35,5,4,2025-10-24
51,61,8,4,2025-11-15
52,19,4,1,2026-04-06
53,52,3,5,2026-01-28
54,76,1,4,2026-05-19
55,62,3,4,2025-12-24
56,89,10,2,2026-01-14
57,59,9,1,2025-11-14
58,84,4,2,2026-04-16
59,27,8,4,2026-03-17
60,78,9,3,2026-05-23
61,86,9,5,2025-08-09
62,37,10,4,2026-06-16
63,91,8,2,2026-05-10
64,19,5,2,2025-09-14
65,22,3,4,2026-02-26
66,13,3,4,2025-09-24
67,47,3,1,2025-12-14
68,1,4,2,2025-12-28
69,100,1,4,2026-05-08
70,85,4,1,2026-03-16
